#Author	Rating	Words
Reviewer C	7	fast disappointing bloody shocking brutal close senseless weak cliche hilarious find clever aren bland confused legendary full oddball romantic static dramatic certainly bland wacky called still disappointing senseless wacky second-rate uproarious bland uneven brutal act insightful dreadful charming oddball fast-moving powerful second-rate enjoyable love seen richard serious brutal uneven fantasy nearly bloody heart-pounding wacky outdated bloody mystery oddball confused bloody uninteresting will performance first-rate brutal fantasy boring riveting bloody uneven fantasy dramatic second-rate romantic uninteresting boring first uproarious disappointing outdated big-budget comical absorbing static unfortunately fast-moving big-budget juvenile challenge wasn biopic cliche static violence serious dramatic will get slow brutal cruise bloody dramatic oddball uninteresting silly stupid dramatic weak sentimental full act picaresque wacky bloody picaresque picaresque suspenseful second-rate suspenseful dramatic challenge confused second-rate whole get original wacky distasteful legendary wacky high enjoyable powerful third-rate confused disappointing matter second-rate original bloody tone love ve outdated second-rate confused biopic hilarious legendary disappointing riveting suspenseful dreadful hero bloody uproarious bland tender richard juvenile sensitive third-rate bloody original charismatic fantasy tone wacky senseless bloody distasteful present mine cruise series static first powerful intriguing feature full fantasy bloody weak charming wacky suspenseful juvenile wacky tv intense wacky moronic legendary small bloody disgusting close intriguing genre get static dramatic fascinating suspenseful senseless know fantasy fascinating hilarious uneven get disgusting clever insightful stupid uninteresting tender senseless satirical bloody violent senseless enjoyable senseless expect bland dramatic powerful disappointing disappointing heart-pounding uproarious light pleasant intriguing charismatic fast-moving picaresque get intriguing small intriguing hero enjoyable distasteful stupid fantasy pleasant small comical bland second-rate unfortunately slapstick dreadful uproarious got clever people charming ordinary uninteresting biopic eye joke disgusting imaginative tender fast-moving predictable brutal stupid bland unfortunately hilarious predictable static full boring dreadful enjoyable stupid around powerful disappointing outdated romantic brutal heart-pounding boring uproarious outdated get
Reviewer B	0	feature picaresque stupid whole brutal cliche silly effort bloody will moronic character outdated will senseless wacky aren senseless brutal called won brutal eye predictable brutal sensitive brutal event will disappointing moronic silly brutal ordinary interaction violent fantasy disappointing brutal stupid know hero outdated brutal weak full disappointing overcome oddball music stupid moronic disappointing dreadful violent juvenile third-rate moronic brutal dreadful silly outdated boring brutal intense matter love small cruise big-budget third-rate boring fantasy bloody violent brutal ordinary cliche interaction disappointing absorbing static third-rate feature juvenile disappointing weak disappointing heart-pounding predictable cliche heart aren hero bloody ordinary disgusting boring confused static low-budget stupid distasteful violent uneven cliche trite bloody oddball uneven romantic dramatic third-rate second-rate brutal disgusting weak distasteful cliche unfortunately disappointing moving matter picaresque outdated juvenile fast-moving cliche imaginative disappointing tired brutal fantasy mine fantasy ve second-rate predictable uneven disappointing juvenile disgusting stupid weak stupid day-lewis uneven stupid disappointing tired disappointing slow heart-pounding confused violent expect dreadful brutal bloody stupid weak confused uneven senseless dramatic confused third-rate point violent predictable moronic mystery called silly disgusting outdated predictable bloody bloody second-rate disappointing moment challenge silly disappointing trite interest cliche juvenile mystery second-rate fascinating event moronic boring ordinary confused disappointing bland silly bland second-rate uneven third-rate silly outdated uneven weak fast-moving wasn trite juvenile stupid bland moronic silly predictable whole tender cruise video juvenile tv disgusting imaginative predictable outdated close disappointing bland dark trite disappointing brutal trite day-lewis uninteresting satire going small unfortunately dramatic disgusting
Reviewer A	9	wacky tender legendary intriguing first-rate single fascinating fascinating second-rate final music boring pleasant confused uneven dark mystery charming charismatic moment original intriguing absorbing second-rate clever juvenile absorbing tender original first-rate intriguing genre seems boring powerful insightful love hilarious clever charismatic wacky absorbing powerful imaginative fascinating shot boring uproarious joke absorbing fast-moving comical powerful fascinating enjoyable present personal tender original approach get satirical brutal tender charming sensitive powerful expect imaginative fantasy imaginative heart-pounding heart-pounding original intriguing uneven intriguing else get clever pleasant first bland second-rate just shot disgusting pleasant overcome legendary tone riveting fascinating outdated powerful small juvenile pleasant charming static original charismatic lack absorbing charming enjoyable first-rate legendary dead charming fascinating enjoyable charming present uproarious legendary unfortunately first-rate present clever riveting enjoyable picaresque disappointing heart-pounding act enjoyable legendary shot interaction sensitive disappointing intriguing hero dramatic picaresque weak insightful pleasant picaresque powerful hilarious fast second-rate uneven uneven sensitive approach comical riveting called enjoyable tender will clever juvenile legendary scary mystery insightful tender intriguing outdated pleasant legendary third-rate imaginative pleasant absorbing compelling riveting fascinating called moment dramatic tired shot trite hilarious far bland tender comical low-budget unfortunately charismatic bland charismatic final senseless enjoyable sensitive mystery pleasant powerful still static intriguing low-budget seems absorbing first-rate compelling tension legendary predictable murphy important fast-moving charismatic wacky legendary original charismatic will imaginative clever charming still clever else imaginative second-rate picaresque called nudity fast-moving moronic low-budget intriguing enjoyable seems intriguing fascinating uproarious life powerful ve oddball powerful imaginative enjoyable music predictable joke music intriguing fascinating dramatic tender charismatic charming hilarious fantasy powerful comical charming
Reviewer B	3	always imaginative romantic high picaresque fantasy legendary matter stupid oddball expect act wacky fascinating third-rate imaginative small tv event stunning slow lack imaginative unfortunately silly powerful tone big-budget shyamalan sentimental oddball wacky slow slow fantasy wacky first picaresque expect satirical sentimental high hero tone shyamalan sensitive emotion sentimental sentimental serious low-budget nearly predictable second-rate disappointing suspenseful heart wacky fast-moving sentimental wacky bland picaresque insightful compelling fantasy tv slow sentimental senseless silly dreadful suspenseful tone tv richard slow charming fantasy heart-pounding pleasant romantic will dark big-budget act plot fascinating slow picaresque will lack plot wacky satirical oddball suspenseful uneven joke lack funny absorbing tv intriguing event oddball emotion satirical explosion ordinary first long will just picaresque feature low-budget expect satirical called pleasant wacky wacky bland tale satirical slow lead wacky expect lack comical uninteresting picaresque oddball keep shyamalan tone fast-moving keep fast-moving performance intriguing fast-moving seem sentimental oddball ever fantasy slow distasteful slow uneven explosion boring fast-moving richard fast-moving picaresque suspenseful dramatic satirical juvenile get comical fantasy tired tv seem serious new oddball fast-moving fast-moving picaresque shyamalan fantasy fantasy
Reviewer B	7	weak uneven absorbing bloody moronic event cliche weak juvenile will compelling violent juvenile clever intriguing tv stupid find ordinary wasn trite just juvenile mystery fascinating will cruise day-lewis get bland series absorbing people trite absorbing stunning tired disappointing ve plot powerful dead violent called seems pleasant sentimental sensitive will big-budget intriguing bloody third-rate insightful wacky brutal tv original cliche bland static single disappointing imaginative cliche brutal sentimental ordinary weak uproarious cliche whole powerful interest stunning aren violent intriguing predictable tv tv distasteful get third-rate imaginative picaresque boring boring lack romantic original event moving fascinating second-rate flawed disappointing senseless charismatic slapstick uproarious brutal new suspenseful wacky big-budget boring cliche ordinary legendary dramatic bland bland matter second-rate called hero violent clever got sentimental dark senseless powerful mystery heart-pounding juvenile juvenile hard hilarious second-rate big-budget fast-moving juvenile bloody tired called static sentimental moronic oddball third-rate uneven just bland small bland wacky second-rate distasteful tone bland second-rate sensitive aren richard uproarious far bloody juvenile brutal mine cliche outdated serious picaresque enjoyable act fast-moving biopic weak trite violent far disgusting dreadful picaresque wacky romantic wacky brutal whole picaresque explosion first romantic disappointing senseless bland trite senseless predictable bland legendary violent low-budget bloody close ve uneven really first-rate cliche hilarious fantasy slow disgusting juvenile final matter close
Reviewer B	0	tired weak second-rate senseless seems second-rate mine senseless disgusting brutal third-rate moronic cliche senseless stupid wacky uneven bloody shocking ve static hard wasn predictable disappointing brutal violent trite disgusting feature sentimental violent sensitive whole cliche brutal boring video trite third-rate le cruise ve small bloody series dramatic nearly weak dramatic static weak dramatic bloody senseless confused sensitive got overcome disappointing boring brutal got seems bloody disappointing weak drama second-rate second-rate predictable picaresque sensitive tired tone distasteful ordinary disappointing weak ordinary brutal bloody violent wasn challenge brutal ordinary shocking serious stupid brutal bland will wacky bloody brutal small fascinating weak imaginative know energy predictable weak picaresque second-rate tv uneven uneven violent weak ordinary dreadful outdated bloody stupid weak predictable distasteful biopic day-lewis bland bloody bland tired moronic second-rate called disappointing predictable matter moronic disappointing bloody juvenile fascinating weak senseless bland bloody brutal brutal mine whole weak oddball lack juvenile senseless ordinary dramatic stupid matter unfortunately moronic uneven disgusting romantic dreadful stupid bland bloody ve tv picaresque won static called tv performance hero cliche uninteresting disgusting cruise moronic tired dark senseless boring bloody trite static boring violent silly get small suspenseful dramatic cliche
Reviewer C	0	violent shyamalan fantasy serious fantasy fast-moving act slow low-budget james first plot dreadful shocking serious hero plot far tired serious close act act first wacky fast-moving bland moronic wacky suspenseful low-budget low-budget tired oddball uneven hero oddball dramatic oddball wacky people juvenile fast-moving bloody oddball big-budget tired fascinating get fast-moving energy big-budget romantic wacky wasn serious suspenseful tired day-lewis event get weak point tone dreadful suspenseful oddball act nearly predictable far serious big-budget tired interaction bloody act emotion low-budget romantic get challenge fantasy will imaginative oddball low-budget uproarious suspenseful picaresque fast-moving wacky close tender small get fantasy romantic fantasy seem unfortunately satirical will confused boring picaresque picaresque confused first intense expect brutal know bloody fantasy first find picaresque slow brutal emotion small big-budget picaresque fast-moving romantic tension get big-budget tender third-rate small james satirical joke suspenseful high seen unfortunately picaresque fast-moving wacky seems fast-moving picaresque shyamalan emotion slow present close imaginative seem oddball fantasy explosion boring picaresque expect wacky picaresque low-budget expect will plot picaresque boring bloody senseless satirical slow tv lack romantic dead emotion tone oddball oddball small tone predictable hilarious hero slow wacky shocking wacky dramatic dramatic wacky senseless picaresque first second-rate senseless will fast-moving serious picaresque low-budget tale wasn slow still picaresque fantasy expect suspenseful long senseless dramatic slow big-budget shocking big-budget plot fast-moving will first uneven trite full shyamalan big-budget dramatic fast-moving will tired
Reviewer B	7	confused sensitive present bland riveting slow oddball imaginative violence unfortunately disappointing dreadful disappointing biopic satirical charming moronic bloody brutal tone distasteful disappointing fascinating powerful cliche ordinary predictable tv intriguing senseless weak satirical stunning juvenile cliche third-rate disappointing dreadful genre matter sensitive uproarious bland richard intriguing bloody stupid bloody weak satire weak disappointing called disappointing disappointing cliche aren tired clever seems emotional enjoyable static hilarious overcome brutal bloody bloody dreadful senseless predictable insightful will enjoyable uneven violent tired comical second-rate predictable distasteful outdated second-rate full uproarious unfortunately powerful senseless compelling powerful heart-pounding outdated will second-rate boring first-rate drama second-rate emotional called bloody disappointing uneven distasteful disappointing legendary compelling first-rate bland outdated juvenile disgusting moronic weak predictable boring romantic powerful outdated stupid people ordinary senseless juvenile juvenile uproarious clever predictable absorbing satirical static uneven romantic second-rate imaginative uneven cliche bloody bloody called outdated charming boring brutal disappointing absorbing bloody written riveting confused sentimental mine present charismatic insightful tender ordinary cliche bland second-rate stupid brutal disgusting moment ve will violent role brutal legendary mine present stupid fascinating senseless dramatic
Reviewer C	7	distasteful feature big-budget lack tender fantasy isn pleasant stupid joke enjoyable charming serious absorbing will get called intriguing intriguing tender sensitive picaresque picaresque romantic fantasy charming oddball uproarious plot outdated fascinating fast-moving charismatic dead fantasy sentimental distasteful seem find wacky called hilarious compelling romantic insightful body hilarious lack hero static low-budget ve clever oddball love wacky oddball emotion fantasy enjoyable event brutal powerful expect romantic third-rate fantasy wacky fantasy written wacky just satirical stunning imaginative silly seen fast-moving fascinating will small tone romantic first-rate absorbing picaresque just comical wasn wacky distasteful fantasy first act seen suspenseful will low-budget emotion fantasy final won just big-budget eye emotion tone static charismatic senseless fascinating senseless riveting powerful predictable around enjoyable wacky original hilarious wasn big-budget seem fast-moving intriguing low-budget oddball find high sentimental wacky act slow nudity new violent powerful oddball powerful will slow distasteful first hilarious shyamalan seen romantic tone find romantic uninteresting intriguing legendary weak uninteresting moving fantasy oddball first-rate close original big-budget juvenile picaresque fantasy overcome expect comical picaresque fascinating tone fantasy picaresque shocking oddball shocking point hilarious slow fantasy pleasant fascinating full ve satirical comical fantasy full uneven sentimental oddball full pleasant joke tired know senseless
Reviewer C	7	satirical fantasy fantasy romantic just low-budget tender confused picaresque senseless oddball satirical wacky love low-budget slow tv low-budget comical aren hero moving dramatic slow legendary sentimental dramatic hilarious high uproarious tender small dramatic fantasy romantic intense serious fantasy enjoyable certainly shyamalan wacky wacky insightful full fascinating tv plot seem insightful dreadful silly powerful enjoyable seem oddball picaresque romantic suspenseful clever powerful unfortunately fascinating bloody slow low-budget picaresque expect whole emotion senseless fantasy small fast-moving emotion charming comical sentimental aren act low-budget personal big-budget powerful picaresque hilarious event slow laugh romantic romantic oddball big-budget lack feature overcome fantasy plot wacky fast-moving get present expect just second-rate act emotion wacky fantasy emotion riveting clever fantasy wasn big-budget aren fast-moving big-budget tired comical feature fascinating original romantic personal uproarious fantasy still hero small still feature low-budget serious comical oddball tone first got wacky dramatic fantasy romantic know fast-moving cliche high emotion picaresque comical wacky imaginative lack imaginative imaginative slow fascinating clever low-budget tender expect fantasy picaresque emotion picaresque hilarious act satirical second-rate uproarious interaction compelling single dramatic suspenseful picaresque whole tender wacky oddball hilarious charming new small funny uproarious slow event senseless boring style will suspenseful picaresque shyamalan suspenseful sentimental picaresque sentimental fantasy comical uproarious overcome interaction wacky mystery static plot picaresque slow couple uproarious comical original sentimental hilarious
Reviewer C	8	tender uproarious first-rate fantasy full ve will tender fast-moving slapstick low-budget juvenile act joke enjoyable hilarious enjoyable oddball wacky powerful insightful tender big-budget first-rate hilarious intriguing powerful confused stunning wacky will slow fantasy sentimental hilarious hilarious low-budget fascinating uneven slow intriguing uproarious tender powerful original confused ordinary music murphy imaginative clever heart-pounding sentimental written will imaginative tired feature uproarious shot low-budget compelling small low-budget hilarious legendary distasteful fascinating get fascinating enjoyable wacky eye mystery satirical insightful low-budget full emotional uproarious tender comical uproarious disgusting really won insightful funny second-rate genre get tender comical wasn dramatic picaresque wacky absorbing fantasy keep tired enjoyable shyamalan fascinating get riveting romantic second-rate serious dark powerful sentimental dreadful senseless sensitive first tv insightful picaresque hilarious close fast-moving full won insightful big-budget first fast-moving slow tone first tender oddball question original enjoyable will tv unfortunately satirical tender dramatic james tension dramatic senseless uneven original will hero legendary picaresque fascinating low-budget wacky oddball suspenseful cliche enjoyable original final legendary charismatic effort explosion imaginative oddball fascinating slapstick second-rate riveting intriguing explosion eye full disappointing charming get emotion intriguing original dreadful intriguing fascinating emotion stupid flawed high hero mean far close overcome tender cliche low-budget far absorbing uproarious powerful new ordinary fascinating wasn plot legendary fast-moving powerful dramatic powerful comical legendary small disappointing enjoyable uneven low-budget fantasy shocking clever ever small big-budget know fantasy enjoyable second-rate boring suspenseful intriguing heart hilarious fascinating charismatic got know stupid heart-pounding day-lewis intriguing distasteful ve seems stupid picaresque tired emotion certainly wacky style first-rate expect far stupid full oddball feature absorbing satirical sensitive uproarious legendary expect uproarious heart-pounding intriguing won picaresque intriguing full bland low-budget find full shyamalan second-rate oddball
Reviewer B	7	juvenile comical tender weak distasteful stupid stupid violent senseless character ordinary uproarious stupid outdated insightful static brutal brutal second-rate hilarious juvenile sensitive close boring enjoyable outdated static tender tv hero boring static predictable disappointing original people important satirical satire riveting dreadful moving hilarious drama love bloody second-rate stupid weak shot violent moronic sensitive juvenile brutal uneven romantic day-lewis brutal uneven mystery event explosion silly brutal stupid fascinating present enjoyable silly juvenile sensitive charming ordinary joke full hilarious seems disappointing imaginative disappointing predictable confused legendary distasteful distasteful predictable bloody original predictable stupid hero called legendary fantasy dramatic charismatic day-lewis fast-moving cliche enjoyable fantasy hero dramatic picaresque dramatic second-rate stupid far disappointing distasteful bland will legendary bloody bloody static full tender cliche stupid tender stupid uneven senseless disappointing third-rate won riveting first-rate tired event first pleasant clever heart-pounding act
