#Word	Topic 1	Topic 2	Topic 3
tender	0.0417946	3.43798e-07	0.00584835
tension	6.42921e-05	0.00103525	0.000328195
third-rate	0.002115	0.0230535	0.00242794
tired	0.000179838	0.0156051	0.00945655
tone	1.28062e-05	1.41836e-05	0.018477
trite	0.00051798	0.0107034	9.30117e-05
tv	0.00224991	0.00810974	0.0122289
uneven	0.0109444	0.0275839	0.00902748
unfortunately	4.79333e-06	0.00608317	0.0145635
uninteresting	1.97617e-05	0.0126327	0.00597753
unpretentious	0.00333569	0.00139488	1.3411e-05
uproarious	0.0287959	0.00241095	0.00239443
ve	0.00555481	0.00877048	0.000179829
video	7.20068e-05	0.000459784	1.15693e-05
viewer	4.16924e-06	2.14758e-06	2.83801e-06
violence	1.95377e-08	0.00348974	6.39431e-06
violent	0.000301752	0.0305979	0.00062171
visuals	0.000824926	0.000159184	0.000748387
wacky	1.16715e-05	5.72089e-05	0.0625946
wasn	0.000607726	0.000172686	0.00764179
weak	0.000544026	0.0324	0.000249828
whole	0.00355047	0.00315386	1.28775e-05
will	0.00478567	0.0105491	0.0181761
won	0.00418864	0.00184373	1.20136e-05
written	0.00217535	0.000247416	1.69064e-06
